order_id,customer_id,order_date,order_time,delivered_date,delivered_time,delivery_address,driver_id,total_price,delivery_fee,discount,final_price,order_rating
66,9782,6/1/2022 0:00,3:19:00,6/1/2022,3:37:00,6 Linden Lane,34,50,0,0,50,5
67,202,6/1/2022 0:00,3:27:00,6/1/2022,3:45:00,33 Beech Street,164,21,3,4.2,19.8,2.8457355798449213
68,4429,6/1/2022 0:00,3:33:00,6/1/2022,3:49:00,55 Magnolia Avenue,13,48,0,9.6,38.4,3.8179090709372954
69,3181,6/1/2022 0:00,3:35:00,6/1/2022,3:53:00,48 Sunnyside Road,8,12,5,0,17,3.7214137965517664
70,7811,6/1/2022 0:00,3:38:00,6/1/2022,3:54:00,33 Fairway Drive,32,50,0,0,50,2.9354397639796503
71,2126,6/1/2022 0:00,3:39:00,6/1/2022,4:00:00,4 Columbus Lane,57,16,5,1.6,19.4,5
72,7039,6/1/2022 0:00,3:39:00,6/1/2022,4:04:00,34 Jefferson Lane,55,36,0,7.2,28.8,5
73,4689,6/1/2022 0:00,3:46:00,6/1/2022,4:06:00,15 Cedar Lane,44,81,0,16.2,64.8,4.522405305582417
74,6289,6/1/2022 0:00,3:49:00,6/1/2022,4:06:00,47 Sunset Drive,76,30,0,6,24,5
75,1310,6/1/2022 0:00,3:49:00,6/1/2022,4:07:00,71 Fairmount Road,4,3,5,0,8,5
76,8301,6/1/2022 0:00,3:52:00,6/1/2022,4:07:00,1 Hickory Lane,172,72,0,7.2,64.8,3.2864161465320763
77,133,6/1/2022 0:00,3:53:00,6/1/2022,4:11:00,11 Vineyard Drive,220,24,3,4.800000000000001,22.2,5
78,7882,6/1/2022 0:00,3:56:00,6/1/2022,4:13:00,21 Hillcrest Drive,193,150,0,30,120,4.511091777751885
79,8425,6/1/2022 0:00,3:58:00,6/1/2022,4:16:00,40 Elmwood Terrace,178,11,5,0,16,2.609519003567081
80,4087,6/1/2022 0:00,4:01:00,6/1/2022,4:19:00,11 Oakwood Lane,28,20,3,2,21,2.779822050670205
81,1713,6/1/2022 0:00,4:04:00,6/1/2022,4:20:00,35 Maple Avenue,61,22,3,2.2,22.8,4.861254114707048
82,4866,6/1/2022 0:00,4:13:00,6/1/2022,4:31:00,72 Jefferson Lane,111,6,5,0.6000000000000001,10.4,5
83,7503,6/1/2022 0:00,4:20:00,6/1/2022,4:42:00,41 Parkside Lane,77,10,5,0,15,3.6451943805416263
84,5564,6/1/2022 0:00,4:26:00,6/1/2022,4:44:00,32 Jefferson Street,77,13,5,0,18,4.486964435790009
85,9686,6/1/2022 0:00,4:32:00,6/1/2022,4:46:00,27 Fairmount Road,136,108,0,21.6,86.4,5
86,4322,6/1/2022 0:00,4:35:00,6/1/2022,4:48:00,62 Lakeview Drive,67,33,0,6.6000000000000005,26.4,5
87,986,6/1/2022 0:00,4:37:00,6/1/2022,4:50:00,71 Ashland Avenue,242,11,5,0,16,5
88,9595,6/1/2022 0:00,4:37:00,6/1/2022,4:52:00,1 Lincoln Circle,134,16,5,1.6,19.4,5
89,9302,6/1/2022 0:00,4:38:00,6/1/2022,4:58:00,4 Sycamore Street,36,16,5,1.6,19.4,3.64788617932073
90,3651,6/1/2022 0:00,4:38:00,6/1/2022,5:06:00,51 Linden Lane,50,30,0,6,24,5
91,9231,6/1/2022 0:00,4:42:00,6/1/2022,5:07:00,41 Linden Lane,152,24,3,2.4000000000000004,24.6,4.789524881023157
92,5038,6/1/2022 0:00,4:49:00,6/1/2022,5:08:00,27 Walnut Avenue,152,100,0,10,90,3.262081410453242
93,7972,6/1/2022 0:00,4:56:00,6/1/2022,5:09:00,37 Vineyard Drive,134,100,0,10,90,5
94,3831,6/1/2022 0:00,4:57:00,6/1/2022,5:12:00,2 Forest Avenue,126,13,5,0,18,2.6015106532579675
95,4184,6/1/2022 0:00,5:03:00,6/1/2022,5:24:00,50 Prospect Avenue,6,18,5,1.8,21.2,3.08414858625947
96,8457,6/1/2022 0:00,5:06:00,6/1/2022,5:25:00,64 Vineyard Drive,47,6,5,0,11,2.7768980993931818
97,9660,6/1/2022 0:00,5:06:00,6/1/2022,5:27:00,71 Magnolia Avenue,55,28,2.5,2.8000000000000003,27.7,5
98,8928,6/1/2022 0:00,5:07:00,6/1/2022,5:30:00,25 Sycamore Street,31,12,5,1.2000000000000002,15.8,2.5694602554851422
99,8913,6/1/2022 0:00,5:15:00,6/1/2022,5:33:00,44 Birchwood Lane,38,150,0,30,120,5
100,7369,6/1/2022 0:00,5:21:00,6/1/2022,5:36:00,13 Fairview Avenue,61,16,5,1.6,19.4,4.316977660776157
101,520,6/1/2022 0:00,5:24:00,6/1/2022,5:41:00,65 Prospect Avenue,15,16,5,1.6,19.4,4.518819920279977
102,8918,6/1/2022 0:00,5:27:00,6/1/2022,5:42:00,37 Hillcrest Road,141,15,5,3,17,2.9548598810954703
103,3625,6/1/2022 0:00,5:29:00,6/1/2022,5:47:00,62 Holly Lane,115,14,5,1.4,17.6,4.309888267619101
104,6277,6/1/2022 0:00,5:30:00,6/1/2022,5:52:00,24 Holly Lane,230,11,5,0,16,2.5157152083024084
105,6497,6/1/2022 0:00,5:32:00,6/1/2022,5:53:00,35 Eastwood Drive,250,11,5,0,16,4.182309811998399
106,7979,6/1/2022 0:00,5:37:00,6/1/2022,5:54:00,56 Magnoli,137,38,0,0,38,5
107,2447,6/1/2022 0:00,5:37:00,6/1/2022,5:56:00,69 Maplewood Road,198,32,0,3.2,28.8,3.165832323296088
108,8494,6/1/2022 0:00,5:40:00,6/1/2022,5:58:00,10 Newbury Way,209,36,0,7.2,28.8,5
109,2856,6/1/2022 0:00,5:41:00,6/1/2022,6:02:00,23 Kingston Way,30,36,0,7.2,28.8,4.63244038985267
110,7651,6/1/2022 0:00,5:45:00,6/1/2022,6:02:00,8 Kingston Way,190,12,5,0,17,4.74932341040246
111,6119,6/1/2022 0:00,5:46:00,6/1/2022,6:03:00,6 Southview Lane,241,33,0,6.6000000000000005,26.4,3.938686985651585
112,3086,6/1/2022 0:00,5:47:00,6/1/2022,6:15:00,12 Oak Hill Drive,246,11,5,0,16,5
113,985,6/1/2022 0:00,5:53:00,6/1/2022,6:15:00,46 Park Avenue,123,9,5,0,14,5
114,267,6/1/2022 0:00,5:53:00,6/1/2022,6:18:00,12 Mainview Avenue,107,16,5,1.6,19.4,5
115,5005,6/1/2022 0:00,5:56:00,6/1/2022,6:19:00,61 Madison Court,128,35,0,0,35,5
116,4480,6/1/2022 0:00,6:01:00,6/1/2022,6:21:00,17 Birchwood Lane,207,27,2.5,5.4,24.1,4.893764126879727
117,3395,6/1/2022 0:00,6:09:00,6/1/2022,6:22:00,64 Parkside Lane,45,27,2.5,5.4,24.1,3.2799599736531384
118,6107,6/1/2022 0:00,6:15:00,6/1/2022,6:33:00,53 Park Street,136,18,5,1.8,21.2,4.120764823448316
119,7303,6/1/2022 0:00,6:22:00,6/1/2022,6:34:00,52 Hillcrest Road,16,7,5,0,12,5
120,7785,6/1/2022 0:00,6:23:00,6/1/2022,6:42:00,61 Greystone Terrace,53,14,5,1.4,17.6,5
121,3063,6/1/2022 0:00,6:24:00,6/1/2022,6:42:00,28 Oakdale Drive,15,24,3,2.4000000000000004,24.6,5
122,9663,6/1/2022 0:00,6:25:00,6/1/2022,6:46:00,44 Lincoln Avenue,232,8,5,0,13,2.7793106109328947
123,3524,6/1/2022 0:00,6:30:00,6/1/2022,6:48:00,77 Elmwood Road,62,42,0,8.4,33.6,5
124,9770,6/1/2022 0:00,6:32:00,6/1/2022,6:54:00,51 Hillcrest Drive,221,17,5,0,22,3.3282463800842352
125,6348,6/1/2022 0:00,6:41:00,6/1/2022,6:56:00,39 Elmwood Place,208,102,0,20.4,81.6,2.702797783492032
126,7503,6/1/2022 0:00,6:46:00,6/1/2022,7:03:00,41 Parkside Lane,204,11,5,0,16,4.854977986742934
127,7081,6/1/2022 0:00,6:48:00,6/1/2022,7:08:00,61 Willow Street,1,28,2.5,2.8000000000000003,27.7,3.918280489944303
128,159,6/1/2022 0:00,6:50:00,6/1/2022,7:10:00,17 Eastwood Drive,46,42,0,8.4,33.6,5
129,9929,6/1/2022 0:00,6:54:00,6/1/2022,7:14:00,31 Maplewood Drive,229,8,5,0,13,3.6144459070789514
130,8614,6/1/2022 0:00,7:00:00,6/1/2022,7:20:00,38 Belmont Avenue,35,18,5,1.8,21.2,5
131,5769,6/1/2022 0:00,7:06:00,6/1/2022,7:24:00,10 Greenfield Avenue,199,26,2.5,2.6,25.9,5
132,1650,6/1/2022 0:00,7:12:00,6/1/2022,7:30:00,72 Newbury Way,158,30,0,6,24,3.702393321251783
133,5254,6/1/2022 0:00,7:13:00,6/1/2022,7:35:00,63 Northview Road,3,21,3,4.2,19.8,4.186456493457963
134,5838,6/1/2022 0:00,7:15:00,6/1/2022,7:40:00,48 Broadview Avenue,118,7,5,0,12,3.851685628030139
135,1386,6/1/2022 0:00,7:18:00,6/1/2022,7:42:00,15 Belmont Avenue,32,33,0,6.6000000000000005,26.4,5
136,2511,6/1/2022 0:00,7:20:00,6/1/2022,7:44:00,24 Forest Avenue,196,50,0,0,50,3.976956457964017
137,3177,6/1/2022 0:00,7:24:00,6/1/2022,7:45:00,28 Meadowbrook Road,97,22,3,2.2,22.8,5
138,9445,6/1/2022 0:00,7:27:00,6/1/2022,7:46:00,23 Oakdale Court,83,150,0,30,120,5
139,3265,6/1/2022 0:00,7:27:00,6/1/2022,7:47:00,51 Locust Lane,188,15,5,0,20,3.015639977138275
140,6780,6/1/2022 0:00,7:28:00,6/1/2022,7:48:00,78 Maplewood Road,45,10,5,0,15,4.8529252488157
141,4326,6/1/2022 0:00,7:35:00,6/1/2022,7:52:00,58 Valley Road,8,28,2.5,2.8000000000000003,27.7,3.1055284867781525
142,2267,6/1/2022 0:00,7:36:00,6/1/2022,7:53:00,53 Hillside Avenue,235,36,0,7.2,28.8,4.430675192303066
143,6767,6/1/2022 0:00,7:38:00,6/1/2022,7:58:00,2 Forest Drive,224,16,5,0,21,4.002531757632775
144,2720,6/1/2022 0:00,7:40:00,6/1/2022,8:00:00,38 Hillcrest Road,192,8,5,0,13,5
145,2225,6/1/2022 0:00,7:42:00,6/1/2022,8:01:00,46 Jefferson Avenue,47,14,5,1.4,17.6,4.668080620779483
146,1189,6/1/2022 0:00,7:43:00,6/1/2022,8:03:00,8 Locust Lane,52,10,5,1,14,4.177059049767399
147,5094,6/1/2022 0:00,7:45:00,6/1/2022,8:04:00,1 High Street,57,15,5,3,17,5
148,3987,6/1/2022 0:00,7:47:00,6/1/2022,8:05:00,77 Maplewood Road,167,8,5,0.8,12.2,3.871278766506733
149,6044,6/1/2022 0:00,7:51:00,6/1/2022,8:07:00,8 Beechwood Road,24,18,5,3.6,19.4,5
150,1918,6/1/2022 0:00,7:55:00,6/1/2022,8:15:00,78 Broad Street,117,8,5,0,13,4.239252156452132
151,5517,6/1/2022 0:00,7:57:00,6/1/2022,8:16:00,35 Lakeview Drive,208,24,3,2.4000000000000004,24.6,5
152,737,6/1/2022 0:00,7:58:00,6/1/2022,8:16:00,30 Cedar Road,168,15,5,0,20,4.703591922021717
153,8404,6/1/2022 0:00,8:06:00,6/1/2022,8:22:00,55 Lincoln Circle,11,45,0,9,36,5
154,5001,6/1/2022 0:00,8:11:00,6/1/2022,8:38:00,47 Hillcrest Avenue,8,30,0,6,24,5
155,9914,6/1/2022 0:00,8:17:00,6/1/2022,8:39:00,65 Lincoln Avenue,230,33,0,6.6000000000000005,26.4,5
156,7095,6/1/2022 0:00,8:17:00,6/1/2022,8:46:00,73 Orchard Road,102,18,5,1.8,21.2,4.509911305995404
157,226,6/1/2022 0:00,8:18:00,6/1/2022,8:46:00,74 Birchwood Lane,156,7,5,0,12,4.320274273223606
158,8523,6/1/2022 0:00,8:25:00,6/1/2022,8:47:00,5 Lake Shore Drive,43,9,5,1.8,12.2,3.3672596081743444
159,6489,6/1/2022 0:00,8:25:00,6/1/2022,8:50:00,62 Grove Street,74,100,0,10,90,4.118440874055007
160,9644,6/1/2022 0:00,8:26:00,6/1/2022,8:52:00,17 Highland Drive,14,26,2.5,2.6,25.9,3.498619147398273
161,3969,6/1/2022 0:00,8:31:00,6/1/2022,8:52:00,63 Beechwood Avenue,221,8,5,0,13,4.656059170909415
162,4104,6/1/2022 0:00,8:34:00,6/1/2022,8:52:00,5 Orchard Road,34,3,5,0,8,3.1903500753666485
163,1624,6/1/2022 0:00,8:38:00,6/1/2022,8:52:00,73 Walnut Street,66,3,5,0,8,5
164,1363,6/1/2022 0:00,8:40:00,6/1/2022,8:58:00,62 Beech Street,1,20,3,2,21,5
165,3676,6/1/2022 0:00,8:41:00,6/1/2022,9:03:00,74 Elmwood Place,2,30,0,6,24,3.05228238357135
166,1369,6/1/2022 0:00,8:42:00,6/1/2022,9:04:00,13 Cedar Court,142,24,3,4.800000000000001,22.2,3.2004459307198303
167,4228,6/1/2022 0:00,8:42:00,6/1/2022,9:07:00,26 Pleasant Street,144,6,5,0,11,2.9300746033679634
168,5034,6/1/2022 0:00,8:52:00,6/1/2022,9:08:00,35 Park Street,128,48,0,9.6,38.4,5
169,7249,6/1/2022 0:00,8:52:00,6/1/2022,9:09:00,35 Beechwood Avenue,21,30,0,6,24,3.2209707873888243
170,1801,6/1/2022 0:00,8:53:00,6/1/2022,9:11:00,33 Sycamore Street,16,22,3,2.2,22.8,5
171,3489,6/1/2022 0:00,8:54:00,6/1/2022,9:12:00,7 Hudson Terrace,206,6,5,0.6000000000000001,10.4,5
172,1054,6/1/2022 0:00,8:57:00,6/1/2022,9:19:00,3 Hillcrest Avenue,139,6,5,0.6000000000000001,10.4,5
173,4366,6/1/2022 0:00,8:59:00,6/1/2022,9:25:00,9 Ridgeview Drive,126,22,3,2.2,22.8,4.923245740846777
174,802,6/1/2022 0:00,9:10:00,6/1/2022,9:26:00,45 Kingston Way,233,24,3,4.800000000000001,22.2,3.005853471896215
175,1618,6/1/2022 0:00,9:12:00,6/1/2022,9:34:00,39 Cherrywood Drive,235,57,0,11.4,45.6,4.005972756165909
176,8549,6/1/2022 0:00,9:14:00,6/1/2022,9:35:00,68 Beechwood Avenue,18,30,0,6,24,4.076835221037044
177,5078,6/1/2022 0:00,9:15:00,6/1/2022,9:35:00,53 Willow Lane,37,19,5,0,24,4.916952299083667
178,1822,6/1/2022 0:00,9:20:00,6/1/2022,9:37:00,65 Fairway Drive,21,50,0,0,50,4.8011857348056655
179,3616,6/1/2022 0:00,9:20:00,6/1/2022,9:39:00,24 Holly Avenue,96,76,0,7.6,68.4,5
180,7404,6/1/2022 0:00,9:22:00,6/1/2022,9:41:00,78 Cedar Street,59,39,0,7.800000000000001,31.2,3.513365952334797
181,2145,6/1/2022 0:00,9:22:00,6/1/2022,9:42:00,45 Eastwood Drive,201,18,5,1.8,21.2,3.414583985789208
182,1476,6/1/2022 0:00,9:24:00,6/1/2022,9:48:00,33 Meadowbrook Road,142,24,3,2.4000000000000004,24.6,3.087768618559267
183,810,6/1/2022 0:00,9:25:00,6/1/2022,9:49:00,36 Park Lane,116,7,5,0,12,5
184,9388,6/1/2022 0:00,9:26:00,6/1/2022,9:49:00,22 Ashland Avenue,150,17,5,0,22,4.949631508022857
185,41,6/1/2022 0:00,9:30:00,6/1/2022,9:49:00,62 Hillcrest Road,86,24,3,4.800000000000001,22.2,5
186,2050,6/1/2022 0:00,9:31:00,6/1/2022,9:50:00,77 Beechwood Avenue,14,18,5,1.8,21.2,5
187,2813,6/1/2022 0:00,9:32:00,6/1/2022,9:51:00,13 Grant Avenue,211,30,0,3,27,5
188,3933,6/1/2022 0:00,9:34:00,6/1/2022,9:52:00,22 Elmwood Road,246,17,5,0,22,2.778465538897651
189,2659,6/1/2022 0:00,9:38:00,6/1/2022,9:53:00,74 Greenfield Terrace,84,28,2.5,2.8000000000000003,27.7,2.8760771267096183
190,7006,6/1/2022 0:00,9:39:00,6/1/2022,9:54:00,75 Cedar Road,85,30,0,3,27,5
191,456,6/1/2022 0:00,9:39:00,6/1/2022,9:56:00,5 Meadow Lane,225,3,5,0,8,5
192,4431,6/1/2022 0:00,9:41:00,6/1/2022,9:58:00,78 Grove Street,11,8,5,0,13,2.9455576223061843
193,9487,6/1/2022 0:00,9:42:00,6/1/2022,10:00:00,27 Lincoln Circle,211,24,3,2.4000000000000004,24.6,4.489939265967185
194,7007,6/1/2022 0:00,9:44:00,6/1/2022,10:01:00,26 Greystone Terrace,241,39,0,7.800000000000001,31.2,4.653201983820553
195,5052,6/1/2022 0:00,9:46:00,6/1/2022,10:03:00,22 Pinehurst Road,76,8,5,0,13,2.580782808693476
196,2989,6/1/2022 0:00,9:48:00,6/1/2022,10:09:00,37 Pinehurst Road,197,8,5,0,13,2.5827019018425177
197,4617,6/1/2022 0:00,9:57:00,6/1/2022,10:24:00,24 Rosedale Avenue,29,9,5,0,14,3.4719690280789552
198,2901,6/1/2022 0:00,10:04:00,6/1/2022,10:25:00,65 Highland Place,133,22,3,2.2,22.8,4.511042908390026
199,2380,6/1/2022 0:00,10:09:00,6/1/2022,10:26:00,65 Cherrywood Lane,187,11,5,0,16,3.5319925236406333
200,3223,6/1/2022 0:00,10:13:00,6/1/2022,10:26:00,42 Greenfield Avenue,73,5,5,0,10,3.143536580757352
201,1089,6/1/2022 0:00,10:16:00,6/1/2022,10:27:00,77 Vine Street,42,18,5,3.6,19.4,3.197451647725228
202,5454,6/1/2022 0:00,10:16:00,6/1/2022,10:38:00,74 Applewood Drive,23,48,0,9.6,38.4,5
203,5237,6/1/2022 0:00,10:18:00,6/1/2022,10:47:00,13 Pineview Drive,147,12,5,0,17,3.161153622072132
204,2317,6/1/2022 0:00,10:20:00,6/1/2022,10:47:00,10 Hillcrest Drive,63,39,0,7.800000000000001,31.2,5
205,322,6/1/2022 0:00,10:20:00,6/1/2022,10:49:00,71 High Street,3,6,5,0,11,5
206,1006,6/1/2022 0:00,10:22:00,6/1/2022,10:49:00,75 Madison Avenue,122,18,5,1.8,21.2,5
207,6154,6/1/2022 0:00,10:42:00,6/1/2022,10:57:00,74 Highland Place,195,70,0,7,63,4.201776728537833
208,1782,6/1/2022 0:00,10:42:00,6/1/2022,10:58:00,48 Cedar Road,186,6,5,0.6000000000000001,10.4,5
209,2511,6/1/2022 0:00,10:43:00,6/1/2022,11:00:00,24 Forest Avenue,16,18,5,1.8,21.2,4.801428202155208
210,1575,6/1/2022 0:00,10:43:00,6/1/2022,11:00:00,33 Vine Street,112,12,5,0,17,5
211,8140,6/1/2022 0:00,10:45:00,6/1/2022,11:01:00,42 Chestnut Street,129,22,3,2.2,22.8,2.8236127147673327
212,4505,6/1/2022 0:00,10:46:00,6/1/2022,11:05:00,74 Jefferson Street,169,39,0,7.800000000000001,31.2,5
213,2596,6/1/2022 0:00,10:46:00,6/1/2022,11:09:00,14 Rosedale Avenue,153,17,5,0,22,3.84622317612754
214,5252,6/1/2022 0:00,10:50:00,6/1/2022,11:10:00,34 Cedar Lane,138,18,5,1.8,21.2,5
215,7757,6/1/2022 0:00,10:55:00,6/1/2022,11:12:00,50 Columbus Lane,165,24,3,2.4000000000000004,24.6,4.108653666598331
216,6464,6/1/2022 0:00,10:57:00,6/1/2022,11:12:00,8 Lakeview Drive,38,15,5,3,17,3.1790384517689207
217,5010,6/1/2022 0:00,10:58:00,6/1/2022,11:13:00,26 Fairway Drive,185,150,0,30,120,5
