item_id,restaurant_id,item_name,food_type,price,calories
230,36,Lamb Biryani,Non-veg,NaN,500
231,39,Moo shu pork,Non-veg,NaN,800
232,80,Shrimp scampi,Non-Veg,NaN,400
233,80,Spuma,Veg,NaN,1200
234,100,Rogan Josh Kebab,Non-Veg,NaN,800
235,32,Shrimp Saagwala,Non-Veg,NaN,900
236,38,Wonton soup,Non-veg,NaN,900
237,42,Peking duck,Non-veg,NaN,890
238,15,Dim sum (various types),Non-veg,NaN,600
239,67,Tom Kha Gai soup,Non-Veg,NaN,1000
240,9,Chicken Soup,Non-Veg,NaN,NULL
241,72,Wonton soup,Non-veg,NaN,120
242,56,Peas Pulao,Veg,NaN,120
243,26,Barbaresco,Non-Veg,NaN,600
244,43,Tom Kha Gai soup,Non-Veg,NaN,120
245,12,Pasta e fagioli soup,Non-Veg,NaN,700
246,72,Spring rolls,Non-veg,NaN,400
247,80,Pepperoni pizza,Non-Veg,NaN,1500
248,27,Rose Shake,Veg,NaN,250
249,50,Gobi Paratha,Veg,NaN,400
250,44,Arancini,Veg,NaN,600
251,74,Aperol spritz,Veg,NaN,300
252,50,Fish Amritsari,Non-Veg,NaN,400
253,61,Crying tiger,Non-Veg,NaN,NULL
254,57,Pasta e fagioli soup,Non-Veg,NaN,800
255,50,Chana Masala,Veg,NaN,400
256,70,Manhattan,Non-Veg,NaN,500
257,69,Vegetable lo mein,Veg,NaN,200
258,71,Samosas,Veg,NaN,300
259,59,Peking duck,Non-veg,NaN,400
260,53,Hot and sour soup,Non-veg,NaN,120
261,39,Peking duck,Non-veg,NaN,500
262,50,Lamb Tikka Salad,Non-Veg,NaN,120
263,33,Laab Ped,Non-Veg,NaN,700
264,3,Butter Naan,Veg,NaN,800
265,63,Pad Kra Pao Moo,Non-Veg,NaN,700
266,79,Lamb Seekh Kebab,Non-Veg,NaN,800
267,68,Aperol spritz,Veg,NaN,900
268,96,Szechuan chicken,Non-Veg,NaN,900
269,29,Lasagna,Non-veg,NaN,500
270,79,Samosa Sandwich,Veg,NaN,NULL
271,91,Chicken parmesan,Non-Veg,NaN,1000
272,7,General Tso's chicken,Non-Veg,NaN,1000
273,63,Kang Massaman,Non-Veg,NaN,NULL
274,50,Chicken Curry,Non-veg,NaN,700
275,45,Khao Soi Gai,Non-Veg,NaN,500
276,23,Moo shu pork,Non-veg,NaN,500
277,28,Taurasi,Non-Veg,NaN,700
278,73,Vegetable Jalfrezi,vegetarian,NaN,400
279,10,Thot Man Goong,Non-Veg,NaN,400
280,69,Hot and sour soup,Non-veg,NaN,NULL
281,90,Szechuan chicken,Non-Veg,NaN,500
282,29,Chicken piccata,Non-Veg,NaN,1000
283,64,Butter Chicken,Non-veg,NaN,1000
284,87,Moo Dad Deaw,Non-Veg,NaN,800
285,84,Poori,Veg,NaN,300
286,79,Keema Naan,Non-Veg,NaN,800
287,74,Valpolicella,Non-Veg,NaN,1000
288,11,Cannoli,Veg,NaN,1000
289,72,Crab Rangoon,Non-veg,NaN,1000
290,24,Beef and broccoli,Non-veg,NaN,800
291,88,Calzone,Non-Veg,NaN,900
292,42,Hot and sour soup,Non-veg,NaN,NULL
293,78,Kung Pao chicken,Non-veg,NaN,1000
294,46,Minestrone soup,Non-Veg,NaN,700
295,44,Chicken piccata,Non-Veg,NaN,900
296,84,Peshwari Naan,Veg,NaN,500
297,71,Chili Chicken,Non-Veg,NaN,900
298,64,Peas Pulao,Veg,NaN,120
299,68,Ribollita,Non-Veg,NaN,400
300,11,Prosciutto pizza,Non-Veg,NaN,800
301,20,Americano,Non-veg,NaN,1000
302,17,Moo shu pork,Non-veg,NaN,800
303,78,Korean-style fried chicken,Non-veg,NaN,1100
304,14,Lamb Korma,Non-veg,NaN,1000
305,90,Hot and sour soup,Non-veg,NaN,120
306,42,Dan dan noodles,Non-veg,NaN,300
307,67,Kuay Teow Nam Tok,Non-veg,NaN,400
308,87,Grilled chicken satay,Non-veg,NaN,700
309,7,Vegetable lo mein,Veg,NaN,120
310,71,Lamb Biryani,Non-veg,NaN,600
311,84,Rasgulla,vegetarian,NaN,300
312,84,Vegetable Pakoras,Veg,NaN,500
313,10,Stir-fried basil beef,Non-veg,NaN,600
314,94,Vegetable risotto,Veg,NaN,400
315,67,Pad Sator,Non-veg,NaN,600
316,76,Amarone,Non-veg,NaN,500
317,71,Samosas,Veg,NaN,700
318,83,Jalebi,Veg,NaN,800
319,80,Spuma,Veg,NaN,500
320,72,Peking duck,Non-veg,NaN,300
321,79,Palak Paneer,Veg,NaN,600
322,100,Chicken Curry,Non-veg,NaN,700
323,23,Crab Rangoon,Non-veg,NaN,800
324,45,Stir-fried pork belly with basil,Non-veg,NaN,1000
325,81,Kana Moo Krob,Non-veg,NaN,800
326,72,Spring rolls,Non-veg,NaN,300
327,2,Pot stickers,Non-veg,NaN,120
328,71,Butter Chicken,Non-veg,NaN,1000
329,66,Parmigiana di melanzane,Non-veg,NaN,600
330,14,Papaya Salad,veg,NaN,120
331,63,Pad Thai noodles,Non-veg,NaN,500
332,54,Moo shu pork,Non-veg,NaN,700
333,71,Garlic Naan,Veg,NaN,400
334,71,Aloo Paratha,vegetarian,NaN,NULL
335,34,Cannoli,Veg,NaN,700
336,86,Gang Keow Wan Pla,Non-veg,NaN,400
337,2,Wonton soup,Non-veg,NaN,120
338,48,Cappuccino,Veg,NaN,100
339,40,Vegetable lo mein,Veg,NaN,100
340,5,Hot and sour soup,Non-veg,NaN,100
341,10,Gang Dang Nuea,Non-veg,NaN,300
342,59,Hot and sour soup,Non-veg,NaN,100
343,80,Americano,Non-veg,NaN,100
344,91,Martini,Non-veg,NaN,400
345,93,Paneer Tikka,Veg,NaN,400
346,67,Hoi Tod,Non-veg,NaN,600
347,19,Wonton soup,Non-veg,NaN,120
348,45,Pad Kra Pao Talay,Non-veg,NaN,300
349,93,Lamb Biryani,Non-veg,NaN,500
350,62,Italian soda,Veg,NaN,100
351,74,Margarita,Non-veg,NaN,300
352,100,Palak Paneer,Veg,NaN,400
353,18,Kung Pao chicken,Non-veg,NaN,1000
354,34,Lamb Pulao,Non-veg,NaN,400
355,71,Falooda,Veg,NaN,400
356,19,Spring rolls,Non-veg,NaN,300
357,19,Shrimp fried rice,Non-veg,NaN,NULL
358,31,Crab Rangoon,Non-veg,NaN,400
359,47,Lamb Soup,Non-veg,NaN,300
360,69,Beef and broccoli,Non-veg,NaN,400
361,100,Kachori,Veg,NaN,400
362,41,Barbera d'Asti,Non-veg,NaN,600
363,96,Korean-style fried chicken,Non-veg,NaN,700
364,82,Lasagna,non-vegetarian,NaN,600
365,84,Pista Kulfi,Veg,NaN,300
366,84,Chicken Saagwala,Non-veg,NaN,800
367,7,Shrimp fried rice,Non-veg,NaN,NULL
368,94,Moscato,Non-veg,NaN,800
369,70,Eggplant parmesan,Non-veg,NaN,500
370,2,Moo shu pork,Non-veg,NaN,600
371,21,Beef Curry,Non-veg,NaN,700
372,1,Lamb Pulao,Non-veg,NaN,500
373,82,Prosecco,Non-veg,NaN,500
374,65,Hot and sour soup,Non-veg,NaN,100
375,100,Peshwari Naan,Veg,NaN,200
376,11,Falanghina,Non-veg,NaN,300
377,25,Spring rolls,Non-veg,NaN,200
378,37,Hot and sour soup,non-vegetarian,NaN,100
379,89,Khao Soi noodles,Non-veg,NaN,NULL
380,2,Dim sum (various types),Non-veg,NaN,500
381,77,Frappato,Non-veg,NaN,700
382,47,Poori,Veg,NaN,200
383,66,Tiramisu,Veg,NaN,500
384,54,Moo shu pork,Non-veg,NaN,200
385,25,Hot and sour soup,Non-veg,NaN,100
386,57,Carbonara,Non-veg,NaN,300
387,56,Green papaya salad,Non-veg,NaN,100
388,86,Pla Muek Yang,Non-veg,NaN,100
389,77,Veal Marsala,Non-veg,NaN,200
390,56,Lamb Saagwala,non-vegetarian,NaN,NULL
391,90,Dan dan noodles,Non-veg,NaN,500
392,74,Hot chocolate,vegetarian,NaN,400
393,74,Gazzosa,vegetarian,NaN,NULL
394,43,Gai Yang,Non-veg,NaN,600
395,53,Egg rolls,Non-veg,NaN,400
396,83,Chicken Jalfrezi,Non-veg,NaN,800
397,7,Egg drop soup,Non-veg,NaN,200
398,64,Tamarind Chutney,vegetarian,NaN,100
399,88,Special Pasta,Non-veg,NaN,400
400,64,Fish Tikka Masala,non-vegetarian,NaN,600
401,4,Pad Sator,Non-veg,NaN,600
402,4,Kana Moo Krob,Non-veg,NaN,780
403,4,Nam Tok,Non-veg,NaN,585
404,75,Kana Moo Krob,Non-veg,NaN,780
405,75,Tod Man Pla,Non-veg,NaN,800
406,13,Special Pasta,Non-veg,NaN,410
407,13,Pepperoni pizza,Non-veg,NaN,1200
408,16,Papadum,veg,NaN,1000
409,35,Fiano di Avellino,veg,NaN,400
410,35,Cozze al vino bianco,Non-veg,NaN,1000
411,58,Special Pasta,Non-veg,NaN,410
412,58,Bellini,veg,NaN,400
413,60,Special Pasta,Non-veg,NaN,410
414,99,Pepperoni pizza,Non-veg,NaN,1200
